[0:0:2] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:2:26] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me kayhdr fe radio
[0:2:27] (PlayerName:Josef_Descender | UserName:N1CHO) :fu
[0:2:30] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me kayhdr fe radio
[0:2:30] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:2:31] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:2:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :f moza
[0:2:49] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :on record
[0:2:49] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :daps
[0:2:49] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :on record
[0:2:49] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :daps
[0:2:50] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :fall
[0:2:51] (PlayerName:Tommy_Diaz | UserName:FADEL) :IDLE
[0:2:56] (PlayerName:Moza_Diaz | UserName:moza) :f wee
[0:2:57] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:2:59] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:3:0] (PlayerName:Yone_Fizi | UserName:shanki1z) :f kina waahd tomobila dyal sheriif waste trii9e malyou7a
[0:3:7] (PlayerName:Yone_Fizi | UserName:shanki1z) :f chbanlik fouryan hahaha
[0:3:12] (PlayerName:Fayyo_Sky | UserName:Fayyo) :f haz mha hhhhh
[0:3:15] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:3:17] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:3:19] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:3:21] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:3:21] (PlayerName:Fayyo_Sky | UserName:Fayyo) :f wkha mamno3
[0:3:33] (PlayerName:Yone_Fizi | UserName:shanki1z) :f was hmnou3e a sat ?
[0:3:45] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :gate
[0:3:57] (PlayerName:Fayyo_Sky | UserName:Fayyo) :f ah ymkn dyal dwla mamno3 thzhom foryan
[0:3:58] (PlayerName:Yone_Fizi | UserName:shanki1z) :f was hmnou3e a sat ?
[0:4:5] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:6] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:4:7] (PlayerName:Yone_Fizi | UserName:shanki1z) :f walakine hiya waste charii3e
[0:4:10] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:4:18] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:28] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:41] (PlayerName:Tommy_Diaz | UserName:FADEL) :check 9
[0:4:54] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:56] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:4:57] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:59] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:1] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:2] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:4] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:8] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:13] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:14] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:5:14] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:17] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:18] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:5:20] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:23] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:30] (PlayerName:Cesar_Vialpando | UserName:salahla) :me check his pocket !
[0:5:37] (PlayerName:Alex_simon | UserName:zakariamabrouk) :pay 1 40000
[0:5:39] (PlayerName:Alex_simon | UserName:zakariamabrouk) :pay 1 4000
[0:5:45] (PlayerName:Josef_Descender | UserName:N1CHO) :fu
[0:5:52] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:6:0] (PlayerName:Moza_Diaz | UserName:moza) :f
[0:6:2] (PlayerName:LSRP_Player#5997 | UserName:) :friends
[0:6:4] (PlayerName:LSRP_Player#5997 | UserName:) :friends
[0:6:10] (PlayerName:Moza_Diaz | UserName:moza) :f chkun 3ndu screen
[0:6:12] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:13] (PlayerName:Moza_Diaz | UserName:moza) :f fach jaw sherrif
[0:6:14] (PlayerName:Moza_Diaz | UserName:moza) :f fach jaw sherrif
[0:6:21] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:22] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:6:23] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:6:26] (PlayerName:Connor_Mars | UserName:laarbi12) :fu
[0:6:28] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:6:31] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:35] (PlayerName:Yone_Fizi | UserName:shanki1z) :f la walo
[0:6:39] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:6:50] (PlayerName:Alex_simon | UserName:zakariamabrouk) :idle
[0:6:51] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:55] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:56] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:56] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:6:58] (PlayerName:Ronald_Nimitz | UserName:adolf) :setvol 50
[0:7:0] (PlayerName:Ronald_Nimitz | UserName:adolf) :setvol 40
[0:7:0] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:2] (PlayerName:Ronald_Nimitz | UserName:adolf) :setvol 20
[0:7:2] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:5] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:9] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:15] (PlayerName:Ronald_Nimitz | UserName:adolf) :quickreply dzdm
[0:7:15] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:17] (PlayerName:Fayyo_Sky | UserName:Fayyo) :stats
[0:7:21] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:7:22] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:7:23] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:31] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:35] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:37] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:45] (PlayerName:Marco_Decaprio | UserName:younessaziz) :quickreply u
[0:7:51] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:8:4] (PlayerName:Eric_Geostrica | UserName:CHLH) :getveh 336
[0:8:9] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:8:15] (PlayerName:Tony_Fergson | UserName:MDG) :friends
[0:8:15] (PlayerName:Tony_Fergson | UserName:MDG) :friends
[0:8:17] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:8:17] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:8:31] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:8:33] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:8:36] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:8:47] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:8:48] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:8:49] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:9:8] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:17] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:22] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:9:28] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:35] (PlayerName:Tommy_Diaz | UserName:FADEL) :IDLE
[0:9:35] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:9:36] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:36] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:37] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:9:44] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:54] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:58] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:59] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:10:4] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:10:19] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:10:46] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:10:48] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:1] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:11:3] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:5] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:11:7] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:11:13] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:20] (PlayerName:Tommy_Diaz | UserName:FADEL) :aheal 17
[0:11:30] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:11:30] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:11:30] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:11:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:11:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:11:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:11:38] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:46] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:49] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:11:50] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:54] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:11:57] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:12:11] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:12:12] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:12:15] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:12:15] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:12:15] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:12:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:12:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:12:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:12:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:12:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:12:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:12:22] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:12:22] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:12:22] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:12:34] (PlayerName:Anwar_Car | UserName:AnwarCar) :idle
[0:12:34] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:12:37] (PlayerName:Josef_Descender | UserName:N1CHO) :park
[0:12:38] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:12:39] (PlayerName:Josef_Descender | UserName:N1CHO) :park
[0:12:50] (PlayerName:Tommy_Diaz | UserName:FADEL) :home
[0:12:50] (PlayerName:Tommy_Diaz | UserName:FADEL) :home
[0:13:7] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:13:10] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:13:12] (PlayerName:Moza_Diaz | UserName:moza) :apps
[0:13:16] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:13:35] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:13:37] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:13:44] (PlayerName:Tommy_Diaz | UserName:FADEL) :kanmintk ou kan9lbk
[0:13:44] (PlayerName:Tommy_Diaz | UserName:FADEL) :friends
[0:13:44] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:13:45] (PlayerName:Tommy_Diaz | UserName:FADEL) :kanmintk ou kan9lbk
[0:13:45] (PlayerName:Tommy_Diaz | UserName:FADEL) :friends
[0:13:47] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:13:51] (PlayerName:Ronald_Nimitz | UserName:adolf) :staff
[0:13:59] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:14:7] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:14:12] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:14:12] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:14:15] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:14:17] (PlayerName:Tommy_Diaz | UserName:FADEL) :park
[0:14:21] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:14:24] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:14:25] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:14:29] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:14:29] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:14:32] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:14:32] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:14:33] (PlayerName:Ronald_Nimitz | UserName:adolf) :staff
[0:14:36] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:14:42] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:14:43] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:14:44] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:14:51] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:14:55] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:14:57] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:15:0] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:15:4] (PlayerName:Tony_Fergson | UserName:MDG) :friends
[0:15:4] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:15:4] (PlayerName:Tony_Fergson | UserName:MDG) :friends
[0:15:12] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:15:14] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:15:15] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:15:26] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:15:31] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:15:33] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :cpr
[0:15:35] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :cpr
[0:15:35] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :idle
[0:15:37] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:16:9] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:16:9] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:16:10] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:16:11] (PlayerName:Josef_Descender | UserName:N1CHO) :mrevive Josef_Descender
[0:16:15] (PlayerName:Anwar_Car | UserName:AnwarCar) :f moza
[0:16:21] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:16:21] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:16:21] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:16:26] (PlayerName:Moza_Diaz | UserName:moza) :f wee
[0:16:26] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:16:31] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:16:34] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:16:34] (PlayerName:Connor_Mars | UserName:laarbi12) :f ronald
[0:16:38] (PlayerName:Ronald_Nimitz | UserName:adolf) :f ui
[0:16:45] (PlayerName:Connor_Mars | UserName:laarbi12) :f on duty
[0:16:47] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:16:51] (PlayerName:Ronald_Nimitz | UserName:adolf) :f ah
[0:16:53] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:16:59] (PlayerName:Connor_Mars | UserName:laarbi12) :f yalah
[0:17:4] (PlayerName:Ronald_Nimitz | UserName:adolf) :F ?
[0:17:5] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:17:7] (PlayerName:Anwar_Car | UserName:AnwarCar) :f aji
[0:17:7] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:10] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:13] (PlayerName:Connor_Mars | UserName:laarbi12) :f m3ana fri7la ljbel asahbi
[0:17:15] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:17:15] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:17] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:17:18] (PlayerName:Ronald_Nimitz | UserName:adolf) :f Okk
[0:17:18] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:17:22] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:17:23] (PlayerName:Ronald_Nimitz | UserName:adolf) :f ana jay 
[0:17:24] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:17:24] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:17:25] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:26] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:17:28] (PlayerName:Ronald_Nimitz | UserName:adolf) :f fin ntla9akum
[0:17:31] (PlayerName:Connor_Mars | UserName:laarbi12) :f a7na jayin l7odod
[0:17:35] (PlayerName:Ronald_Nimitz | UserName:adolf) :F ok ana jay
[0:17:35] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:35] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:17:36] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:17:37] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:38] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:17:39] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:40] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:42] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:43] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:44] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:17:45] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:45] (PlayerName:Anwar_Car | UserName:AnwarCar) :f aji
[0:17:46] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:47] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:48] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:48] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:50] (PlayerName:Anwar_Car | UserName:AnwarCar) :idle
[0:17:50] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:51] (PlayerName:Yone_Fizi | UserName:shanki1z) :f sbare
[0:17:51] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:17:52] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:18:1] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:18:3] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:18:14] (PlayerName:Ronald_Nimitz | UserName:adolf) :duty
[0:18:15] (PlayerName:Ronald_Nimitz | UserName:adolf) :duty
[0:18:16] (PlayerName:Moza_Diaz | UserName:moza) :f att
[0:18:16] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:18:20] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:18:20] (PlayerName:Moza_Diaz | UserName:moza) :gate
[0:18:24] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:18:29] (PlayerName:Anwar_Car | UserName:AnwarCar) :f ok
[0:18:32] (PlayerName:Inzo_Martino | UserName:INZO) :idle
